菜品标题,特点,原料,制作流程,已发布,发布时间
（成都岷山饭店中厨房创意风味菜品）新派毛血旺（附自制麻辣底料与老油配方制法）,"特点：
这是一款清爽版毛血旺，表面没有干辣椒段花椒粒看上去精致而不江湖，但浓郁的麻辣口味却丝毫不含糊。
菜品制作：
李兵，中国烹饪名师，师从中国烹饪大师卢朝华，现任四川成都岷山饭店中厨房行政总厨。
肖毅（成都西蜀森林酒店行政总厨）点评：
由这篇文章可以看出，岷山饭店这家五星级酒店也在致力于转型，但其装修档次毕竟高端一些，不可能将酒楼的菜品直接搬入店内，所以总厨李兵进行了细致改良。以毛血旺为例，酒楼中制作此菜，最后都要浇入炸香的辣椒段及花椒，卖相稍显粗犷，而这款则利用辣椒水及自制底料来提升味道，表面没有抖渣更显清爽。口味贴近大众，装盘却仍然保持精致，这应该是此次最大的亮眼之处。","原料：
鸭血150克，毛肚100克，肥肠150克，午餐肉50克，鹌鹑蛋6个，黄豆芽100克，藕片50克土豆片30克。
调料：
辣椒水800克，麻辣底料200克，蚝油10克味精5克盐3克，老油100克，花椒油10克，香菜段15克。
自制麻辣底料与老油配方制法：
1锅入菜籽油5000克牛油2500克烧至四成热，下郫县豆瓣500克翻炒出香，下入糍粑辣椒2500克慢火炒干水汽。
2然后下香料碎（干香茅100克桂皮小茴香肉蔻白蔻千里香各50克八角香叶各25克草果排草各20克丁香白芷各阳克灵草5克罗汉果3个放入温水中浸泡至回软，捞出吸干水分，入搅拌机打碎）炒香。
3最后下金宫香辣兔调料5袋小天鹅火锅底料5袋，翻炒均匀后关火，使其自然沉淀，上面为老油，下沉的则是麻辣底料，将二者分开盛放。
辣椒水制法：
鲜小米辣500克加清水1500克一同入搅拌机打碎，取出滤去渣滓即得辣椒水。","制作流程：
（1）鸭血150克切片毛肚100克切成小段，汆水备用；肥肠治净后切段，下入沸水（水中加葱姜八角）中永煮2分钟，捞出控干水分。
（2）午餐肉50克切成薄片；鹌鹑蛋6个提前煮熟，剥去蛋壳。
（3）黄豆芽100克藕片50克土豆片30克一同汆水（水中加少许盐入底味），捞出控净水分后摆入盘中垫底。
（4）锅入辣椒水800克烧沸，下入麻辣底料200克，加蚝油10克味精5克盐3克调味，大火烧开，改小火熬煮30分钟，打净料渣，将鸭血毛肚肥肠午餐肉鹌鹑蛋一同下入锅中，烧沸后改小火继续煮5分钟，淋老油100克花椒油10克搅匀，起锅装盘，表面点缀香菜段15克即成。
注意：
成都本地食客嗜辣，所以麻辣底料及辣椒水的用量较大，外地厨师在借鉴此菜时可以适当减少二者用量，将辣椒水与清水搭配使用即可。",未发布,
（辽宁沈阳鸿•咖啡会馆创意口味私房菜）香叶时蔬（附自制河蟹虾酱配方制法）,"特点：
蔬菜爽脆，鲜香味浓。蔬菜的做法大多是白灼清炒，刘士军把九种蔬菜汇于一锅，添自制虾酱翻h入味，素菜荤做，颜色美观。口感多样，味道鲜香，非常实用。
菜品制作：
刘士军，中国烹饪名师，国家高级烹调师，曾就职于沈阳天天渔港广州大可以酒店，现任沈阳鸿咖啡会馆沈阳游艇俱乐部行政总厨。
介绍：
沈阳有家奇葩咖啡馆：从外面看，就是一家卖咖啡牛排的西餐厅；走进去一看，旺销的却是中餐私房菜。原来，人们都被她咖啡西餐外衣欺骗了。
这家咖啡馆最初是以西餐为主，后来却逐渐偏离王道：今天加一个葱姜鲍鱼锅，明天加一个海胆h豆腐，渐渐地，这些纯种中餐占据了这家咖啡馆的主阵地，10个包间日营业额高达4万元，其招牌菜也成为沈阳厨师竞相考察的对象。这种强烈反差带来的成功，也为想创业的大厨展现了一个全新的餐饮模式：打着西餐咖啡甜品的幌子卖火私房中餐。
咖啡会馆里卖中式私房菜？行政总厨刘士军说：老板也觉得矛盾，但神奇的是我们在矛盾中成功了原来，鸿咖啡会馆一开始以咖啡西餐为主，老板发现沈阳人一周最多吃两次西餐，生意朝不保夕，于是增加一部分中餐，邀请刘士军负责菜品研发；又开辟了清吧，邀请两班歌手驻唱。
刘士军在研发时，不宵于传统东北菜的思路，而是广泛选取原料，搭配特色辅料，原创了一批非常叫座的口味私房菜。比如阿玛尼泡菜，是将东北特色干菜地瓜梗与豇豆尖椒制熟后入自熬卤汁浸泡，成菜鲜香微辣，沈阳独此一家；又如姜葱鲍鱼锅，用炸葱油剩下的料头包围鲍鱼鸡肾，客人在干香浓烈的葱段间寻找主料有些人一开始奔着咖啡西餐来，但点了这里的私房菜后纷纷倒戈。随着食客口口相传，鸿咖啡的私房菜逐渐做出了名堂，超越了西餐，成功地反客为主。","原料：
菜花100克，西兰花100克，红黄彩椒各20克，鲜香菇一朵，西生菜200克，紫甘蓝50克，牛心菜200克，油菜50克。
调料：
自制河蟹虾酱15克，盐1克，味精2克，鸡粉3克。
自制河蟹虾酱配方制法：
配料：
大虾干1千克，活河蟹（选小河蟹，大约20元斤）1千克，干葱头末蒜末各1千克，虾膏（广东产，块状）3块，海米750克，冰鲜青虾(15元斤）750克，干香茅草200克，香叶50克。
制作：
1青虾化冻，剪掉须，入烤箱烤熟。河蟹上蒸锅蒸熟，抠出杂质。虾膏加半瓶花雕酒抓匀化开。
2锅下色拉油4千克烧至五成热，下入青灯河蟹小火炸出鲜味，至油泛黄时打出虾蟹，加入香茅草香叶小火炸出香味后捞出，加入剁碎的虾干海米小火炒香，倒入葱头末蒜末，加入化开的虾膏，小火继续熬制30分钟至香浓，停火即成。
特点：
此酱以广东虾膏的酵香气为主，辅以鲜虾活蟹海米的香味，浓香极鲜咸度适中，用来炒蔬菜香而不寡，效果极佳。以上配料可以熬810斤酱，而一份菜则只用15克，所以此酱虽然看上去用料奢侈使用成本实则并不高。","制作方法：
（1）将菜花西兰花改成小朵，彩椒掰成块，香菇打上花刀，一起入六成热油快速拉油，捞出控干。
（2）西生菜紫甘蓝牛心菜撕成块。
（3）锅下底油烧热，加西生菜紫甘蓝牛心菜油菜大火生炒均匀，倒入漏勺中控干。
（4）锅刷干净，放入底油烧热，加干葱末蒜末姜末炒香，下自制河蟹虾酱炒出香味，加入所有蔬菜快速翻匀，调入盐味精鸡粉，盛入热砂锅即可上桌。
制作关键：
炸块状蔬菜时油温不要太高，炒叶状蔬菜时不要过火，否则上桌后蔬菜软塌，口感不爽脆。",未发布,
（江西九江浔城十三香餐厅特色菜品）招牌小龙虾（附自制香豆瓣配方制法）,"风向指标：
这道菜品色泽红润，口味麻辣鲜香，具有复合香味，加入我自制的香豆瓣，增加了独特的风味，是我们店的招牌菜。
菜品制作：
郭剑，现任江西九江浔城十三香餐厅行政总厨","原料：
虾1干克。
调料：
菜子油1500克，A料（生姜大蒜各50克，干辣椒段20克，自制香豆瓣150克，水1千克），B料（盐25克，味精10克，糖50克），C料（白胡椒粉花椒粉各20克，陈醋75克），葱末5克。
自制香豆瓣配方制法：
净锅烧热，下菜子油2千克，放鹃城郫县豆瓣酱老吉师郫县豆瓣酱糍粑辣椒各1干克，加调味料（美极鲜味汁80克，小茴香150克，孜然粒八角桂皮砂仁各30克，草果白豆蔻甘草白胡椒青花椒碎红花椒碎美极豉香鲜各甲克），小火炒制1小时即可。","制作方法：
（1）龙虾洗净，去掉眼部以上部分，去虾脚腮筋。
（2）净锅上火，下菜子油烧至六七成热，放龙虾炸至红色，捞出沥油。
（3）锅内留底油烧热，下A料煸炒出香味，加水500克，倒入龙虾，加B料烧制15分钟，最后放调入C料烧开，装盘撒葱末即可。
小贴士：
这道菜品的原料也可选用牛蛙，制作出的菜品肉质滑嫩，口感香辣。",未发布,
（福建泉州食为记私房菜餐厅特色菜）石锅牛肉（附自制石锅汁配方制法）,"风向指标：
在制作这道菜时，我们将牛肉不断地摔打破坏纤维，使得成品口感嫩滑，再加啤酒腌制，可以祛除异味，搭配浓郁微辣的自制石锅汁，大受食客好评。
菜品制作：
吴明亮，现任福建泉州食为记私房菜餐厅行政总厨","原料：
牛肉500克。
调料：
啤酒100克，A料（黑椒碎6克，美极牛肉粉老抽橙汁各5克，盐2克，迷迭香粉0.4克），生粉20克，色拉油10克，B料（干葱头30克，红辣椒青辣椒各20克，葱段10克），圆葱丝80克，自制石锅汁1200克。
自制石锅汁配方制法：
净锅上火，下牛油15克，蒜米10克，圆葱米20克，黑椒碎2克编香，倒清汤750克，下调味料（黑椒汁10克，美极浓缩鸡汁白糖各5克，美极鲜鸡粉老抽各3克，美极烧焖鲜2克）烧开，生粉3克，勾芡至汤汁浓稠即可。","制作步骤：
（1）牛肉去筋，切8x1厘米的长条，加入A料搅拌均匀，摔打牛肉至粘稠后加入啤酒，不断朝一个方向搅拌，直至啤酒充分被牛肉吸收，最后放生粉和油搅拌均匀。
（2）锅烧热，下色拉油，待油温三成热时，放牛肉滑至三成熟。
（3）另取净锅烧热，下色拉油，放B料煸炒出香味，下石锅汁烧开。
（4）石锅烧热，锅底垫入圆葱丝，放入牛肉，浇上石锅汁即可。",已发布,2025-10-20 02:19:47
（北京蒙盛源餐饮管理公司创意蒙餐）辣木养生烤羔羊（附烤羊腌制料与烤羊蘸料配方制法）,"我说技术：
辣木养生烤羔羊是我经过了两年的研究，开发出的新式烤羔羊菜品。它外焦里嫩，酥脆清香，色泽金黄，吃起来肥而不腻，既保持了全羊的美味，又有养生滋补的功效。制作这道菜我选用呼伦贝尔草原膘肥体壮的羔羊作原料，配以用辣木等调料制作的味水，低温长时间腌制，使辣木的营养物质充分融入到鲜美的羊肉里面。
菜品制作：
王程，师承中国烹饪大师亚洲大厨屈浩先生，王程从厨二十年，融合众家之长，敢于推陈出新，精通粤菜鲁菜宫廷菜官府蒙餐的烹调技艺，多年来一直潜心钻研国宴分餐菜肴和葱烧海参及中国意境菜。
辣木树：
是2012年来在欧美市场新兴的一种保健植物，近期流行于我国。它号称高钙高蛋白质高纤维低脂质，其所含的钙质是牛奶的四倍，钾是香蕉的三倍，铁是菠菜的三倍，维他命C是柑桔的七倍，维生素A是胡萝卜的四倍。辣木籽可增强免疫力排毒塑身抗老化抗癌，并对多种慢性及重大疾病都有改善功效。","初加工：
1辣木籽辣木叶辣木根辣木树干按照3:4:2:1的比例混合，倒入超声波萃取机内，倒入4倍量的纯净水，开机萃取制得辣木原汁。
2呼伦贝尔大草原的羔羊1只（净重10千克）从胸部切开，压平，在羊前腿和羊后腿肉厚的地方打上一字花刀（方便入味），放入腌料中混合均匀，放入冷藏冰箱内腌制48小时。
3用热水略微冲洗羔羊，把羊捆绑在烤架上。
腌制料配方制法：
取一个大的不锈钢盆，放入孜然30克，小茴香地椒（内蒙古产的一种香料，市场有售）各15克，葱丝姜丝各200克，圆葱丝400克，苹果丝香芹段各300克，倒入啤酒2罐(330毫升罐）纯净水1500克苏打水500克辣木原汁100克，生抽200克，用盐50克雀巢牛肉粉100克调味，即成腌料。
烤羊蘸料：
五香花生米500克盐炒黄豆400克分别粉碎，加入炒香的白芝麻400克，韩国大喜大咖喱粉辣椒面各200克，香菜籽粉100克，孜然粉雀巢牛肉粉各300克混合均匀即可。","熟加工：
（1）炭烤炉内放入果木炭，烧好后将羔羊放入，小火烤2小时（期间要翻动几次），再改中火烤30分钟。
（2）最后改大火烤30分钟，取出羔羊，在羊身正反两面撒上蘸料即可。
提问：
羔羊在腌制前不需要漂水吗？
回复：
不需要。因为羔羊本身的腥膻味非常弱，经过后期长达48小时的腌制后，异味就能完全遮盖掉。
提问：
羔羊在腌制过程中需要注意些什么？
回复：
有三点：一是腌制时间一定要控制在48小时左右，长时间腌制才能确保羊肉入味充足；二是在腌制过程中，每6小时就要翻动一次羔羊；三是腌制温度一定要低，最好放入保鲜冰箱内低温冷藏。
提问：
辣木这种原料大家可能都不熟悉，如何购买？它有什么特殊风味吗？
回复：
现在，辣木可以通过很多渠道购买，比如药店淘宝网等。至于它的风味，可以说每个人品尝时都有不同的味道，这跟每个人的身体状况有一定关系。正常健康的人品尝辣木籽是纯甘甜味的，但是对于一些有疾病的人来说，可能品尝到的味道或苦或涩或酸或腥。但是大家不要担心，用来腌制羊肉，品尝成品时是不会有任何不良风味的。
提问：
超声波萃取机的价格非常高，如果不用机器，能否烹调这道菜？
回复：
可以。我们可以将辣木籽辣木叶辣木根辣木树干用机器粉碎，然后和其他腌料混合即可。",未发布,
（浙江宁波竹林人家餐厅旺销招牌菜）竹林烤鸡（附袋装调料汁配方制法）,"介绍：
竹林人家是宁波非常火爆的家常餐厅，装修以竹文化演绎丰富的人文底蕴，菜品以特色海鲜与本地菜为主。公司现有多个品牌，单是竹林人家已经有8家门店。其招牌菜竹林烤鸡，声名在外。
试做结果：
我用的是市场上销售的三黄鸡，为了让菜品颜色看上去更美观，我加入了少许红曲米。可能是由于选料不当，鸡煲不到1个小时，就有点破皮，而且剩余汤汁较多。所以建议烹友们做这道菜时，一定要选好料。不过，菜品香气浓郁，有淡淡的花雕酒香，鸡肉几乎没有异味。","初加工：
1猪蹄200克斩成四五块，焯水；取沙煲1个，底垫姜片蒜子各50克，放入猪蹄。
2竹林土鸡1只宰杀制净（鸡净重约1干克），用刀对准鸡背拍几下，码放到沙煲内，将提前调好的袋装调料汁倒在沙煲内。
3笋干100克用水泡软，倒入高压锅内，加猪骨汤400克上气压制入味。
4沙锅放到火上，烧开，盖盖子，小火煲2小时入味。
袋装调料汁配方制法：
将五年陈花雕酒250克，普通料酒500克，天邑头道鲜酱油30克，冰糖老抽各5克，蚝油10克拌匀。","熟处理：
（1）客人点菜，将沙锅打开，放入笋干，烧开。
（2）烧菜阿姨不断将汤汁浇在菜品上，大火慢慢收汁，用焯水的西兰花点缀即可。
问：
鸡肉要煲2小时，汤汁会不会不够用？
答：
不会，因为我们煲鸡的时候，用的是小火，火保持似开非开，而且我们的沙锅盖子用锡纸包裹了一下，让沙煲形成一个密封空间，蒸发的水气留在盖子上，循环用来煲鸡，留住味道的同时，减少水分流失。
问：
由阿姨来制作这道菜，口味质量能有保证么？
答：
能。我们所有的调料汁笋干都是提前加工好的，操作起来非常简单。而且阿姨比较有耐心，现在她们烧出来的鸡，比我们大师傅烧出来的味道还要好。此外，请阿姨来烧菜，成本低人员稳定，有非常多的优点。",未发布,
（江苏无锡太湖工人疗养院原创改良菜品）海派熏鲳鱼（附自制酥鱼汁配方制法）,"原创思路：
我们为了丰富客人口味，草鱼和鲳鱼轮换入菜，简单腌渍一下再高温油炸，迅速裹上浓稠的酱汁，香酥的鲳鱼夹杂着咸鲜甜的酱汁非常受欢迎。
点评：
炸好的酥鱼立刻倒入酱汁中浸泡，鱼肉冷缩吸收酱汁的味道，可以达到外酥酱香肉嫩香浓的效果。另外注意鲳鱼的炸制时间要比草鱼短一些，高油温短时间炸才能淋汁后保持酥脆口感。","原料：
鲳鱼250克，黄瓜50克。
调料：
自制酥鱼汁水100克，A料（葱段姜片各30克，黄酒25克），芝麻油5克，色拉油500克（约耗50克），熟白芝麻香菜段改花刀的红椒条各2克。
自制酥鱼汁配方制法：
锅上火，入清水10干克烧热，放入蒸鱼豉油1瓶，海天生抽600克，干桂花葱段姜片各100克，炸大蒜子150克，香料包（八角5个，桂皮6克，白芷2片，香叶5片，白豆蔻7粒），冰糖1干克，味精鸡粉各50克，东古一品鲜酱油1瓶，小火熬制3040分钟至浓稠即可。","制作方法：
（1）鲳鱼宰杀，去头尾刮鳞去内脏，改刀成段，加A料腌制15分钟；黄瓜洗净，切两段，一剖二，改刀成大薄片，垫入盘底。
（2）锅上火，入色拉油烧至七八成热，入腌好的鲳鱼段炸至酥脆，控油，浸泡在酥鱼汁水中，淋芝麻油，出锅放入黄瓜片打底的盘中，撒白芝麻，点缀香菜段和红椒条即可。",未发布,
（江苏无锡夏联福记水湖滨大饭店原创精品凉菜）捞汁双脆（附自制捞拌汁配方制法）,"原创思路：
此菜是一道热制冷吃菜，西芹的爽脆和鲍鱼的鲜嫩结合在一起，非常适合夏天食用，又脆又爽，味道清淡。
点评：
鲍鱼营养价值高，特别适合夏天食用，与冰镇的西芹片搭配不错，捞汁的口感也不错，咸鲜微甜，透着芥末清香，值得推广。","原料：
西芹300克，大连小鲜鲍。
调料：
自制捞汁100克。
自制捞汁配方制法：
寿司酱油200克，寿司醋特级橄榄油各100克，生抽750克，海天白米醋150克，味啉650克，绵白糖350克，芥末油50克，熟芝麻20克，混合均匀即可。","制作方法：
（1）将西芹去皮，刨成薄片，入冰水冰镇；小鲍鱼上笼蒸3分钟，取净肉，冲凉，片成薄片。
（2）将西芹片放入盘中，放上小鲍鱼片，搭配自制捞汁上桌即可。",已发布,2025-10-19 22:55:03
（江苏无锡翠竹大酒店特色菜）蒜香酱小龙虾（附秘制蒜香酱配方制法）,"旺销理由：
蒜香酱是蒜香龙虾的机密，这道菜就靠这款酱孔这款酱的创意来自西餐酱料中的蒜蓉辣椒酱，常被用来做海鲜，我将其结合本地口味，作为烧制龙虾的调味核心料。
高德前试制心得：
此款小龙虾的汁酱口味不错，有亮点，龙虾鲜嫩滑爽蒜香浓郁。我在试做的过程中添加了100克蒸鱼豉油一起焖制，成菜后香味更加浓郁。","原料：
江苏兴化小虾每只重40克50克，每份重1200克。
调料：
秘制蒜香酱350克，A料（盐味精鸡精各10克，白糖20克，啤酒1瓶），菜子油100克，香菜芝麻油各5克。
秘制蒜香酱配方制法：
首先将蒜蓉1千克放入烧至四成热的油温中，炸成金黄色，再下入红菜椒蓉500克，用小火熬制10分钟，加入盐20克味精10克白糖60克调味，这些用量可以烹制5份量的蒜香酱龙虾。
注：
很多师傅做蒜蓉酱时，喜欢把所有原料一起下锅熬制，这样口味出来发苦，卖相也不好看，我在处理这款蒜香酱时，特意把两种原料分开处理，无论是口味还是卖相，都非常好。","制作方法：
（1）将初加工后的小龙虾，倒入烧至六成热的油锅中过油，炸至小龙虾色泽红亮，断生后放入漏勺中，沥去余油。
（2）起锅烧热底油，放入秘制蒜香酱，倒入过好油的小龙虾，用A料调味，然后加盖焖烧1012分钟，放入熬制蒜香酱上的浮油30克，淋芝麻油即可起锅，上桌前放香菜5克即可。",未发布,
（北京便宜坊餐饮有限公司创新风味菜品）木瓜牛仔粒（附秘制黑椒汁制法）,"旺销理由：
此菜选用木瓜炒制牛仔粒，可以将木瓜的果香渗透到牛仔粒中。木瓜中含有的特殊蛋白酶还可以起到制嫩牛肉的作用，可以在腌制牛肉时加入木瓜汁。此菜使用秘制黑椒汁给菜品调味。
原料：","牛外里脊200克，木瓜150克，青红椒各30克。
调料：
秘制黑椒汁30克，蔬菜水200克，木瓜汁30克，带盐蛋浆40克，色拉油1千克（约耗25克）。
秘制黑椒汁制法：
将牛肉汁40克，糖30克，红酒10克，黑椒汁250克，番茄汁20克，香菇粒15克入锅中炒制均匀，用湿淀粉勾芡即可。","制作方法：
（1）将牛外里脊改成四方块，用蔬菜水木瓜汁腌制2小时，上浆；木瓜改刀成滚刀块；青红椒改刀成三角形。
（2）将牛外里脊入六成热油锅中滑油，涝出控油。
（3）锅留底油烧热，下入秘制黑椒汁炒香，下入木瓜青椒红椒炒匀出锅即可。",未发布,
